id,user_id,title,raw_input,summary,category,priority,status,deadline,keywords,scheduled_date,duration,overdue_notified_at,created_at,updated_at,created_at_dt,updated_at_dt,created_date,completed_date,weekday,week,cycle_phase
1,usr_sharvibhavsar12,Call Mickey,Call Mickey on 16th at 6pm,,General,medium,completed,2026-08-16 12:30:00+00:00,[],2026-08-16,30,,2026-08-02 06:13:34.568000+00:00,2026-08-02 06:33:19.311000+00:00,2026-08-02 06:13:34.568000+00:00,2026-08-02 06:33:19.311000+00:00,2026-08-02,2026-08-02,Sunday,2026-07-27/2026-08-02,Menstrual
2,usr_sharvibhavsar12,Call Priya for project meeting,Call Priya for project meeting tomorrow night 9,,Work,high,pending,2026-08-02 15:30:00+00:00,[],2026-08-02,30,,2026-08-01 10:34:41.120000+00:00,2026-08-01 10:34:41.120000+00:00,2026-08-01 10:34:41.120000+00:00,2026-08-01 10:34:41.120000+00:00,2026-08-01,2026-08-01,Saturday,2026-07-27/2026-08-02,Menstrual
3,usr_sharvibhavsar12,Rest 3pm,Rest 3pm,,General,medium,completed,2026-08-01 09:30:00+00:00,[],2026-08-01,30,,2026-08-01 06:22:43.703000+00:00,2026-08-01 06:22:59.635000+00:00,2026-08-01 06:22:43.703000+00:00,2026-08-01 06:22:59.635000+00:00,2026-08-01,2026-08-01,Saturday,2026-07-27/2026-08-02,Menstrual
4,usr_sharvibhavsar12,College presentation for project,College presentation for project ,,Project,medium,completed,2026-08-01 10:50:00+00:00,"['project', 'medium']",2026-08-01,120,,2026-07-31 13:51:05.826000+00:00,2026-08-01 05:58:30.144000+00:00,2026-07-31 13:51:05.826000+00:00,2026-08-01 05:58:30.144000+00:00,2026-07-31,2026-08-01,Friday,2026-07-27/2026-08-02,Menstrual
5,usr_sharvibhavsar12,Book flight for TRV,Book flight for TRV on 21st august,,Study,low,completed,2026-08-20 18:30:00+00:00,[],2026-08-21,30,,2026-07-31 13:49:26.832000+00:00,2026-08-01 06:11:49.943000+00:00,2026-07-31 13:49:26.832000+00:00,2026-08-01 06:11:49.943000+00:00,2026-07-31,2026-08-01,Friday,2026-07-27/2026-08-02,Menstrual
6,usr_sharvibhavsar12,Call Diya for Hawai package,Call Diya for Hawai package on 2nd september,,General,medium,pending,2026-09-01 18:30:00+00:00,[],2026-09-02,30,,2026-07-31 13:48:19.340000+00:00,2026-07-31 13:48:19.340000+00:00,2026-07-31 13:48:19.340000+00:00,2026-07-31 13:48:19.340000+00:00,2026-07-31,2026-07-31,Friday,2026-07-27/2026-08-02,Menstrual
7,usr_sharvibhavsar12,Meet Kena for presentation,Meet Kena for presentation at 4pm on 1st august,,Work,high,completed,2026-08-01 10:30:00+00:00,[],2026-08-01,30,,2026-07-31 13:47:33.194000+00:00,2026-08-01 05:57:55.989000+00:00,2026-07-31 13:47:33.194000+00:00,2026-08-01 05:57:55.989000+00:00,2026-07-31,2026-08-01,Friday,2026-07-27/2026-08-02,Menstrual
8,usr_sharvibhavsar12,Meet Arya,Meet Arya at 4pm,,General,high,completed,2026-07-31 10:30:00+00:00,[],2026-07-31,30,,2026-07-31 10:21:26.104000+00:00,2026-07-31 10:21:53.484000+00:00,2026-07-31 10:21:26.104000+00:00,2026-07-31 10:21:53.484000+00:00,2026-07-31,2026-07-31,Friday,2026-07-27/2026-08-02,Menstrual
9,usr_sharvibhavsar12,Initialize repository and pnpm workspace (Copy),Initialize repository and pnpm workspace (Copy),,work,high,pending,,[],2026-07-30,30,,2026-07-31 06:56:35.758000+00:00,2026-07-31 06:56:35.758000+00:00,2026-07-31 06:56:35.758000+00:00,2026-07-31 06:56:35.758000+00:00,2026-07-31,2026-07-31,Friday,2026-07-27/2026-08-02,Menstrual
10,usr_sharvibhavsar12,Initialize repository and pnpm workspace,Initialize repository and pnpm workspace,,work,high,completed,,[],2026-07-30,30,,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.012000+00:00,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.012000+00:00,2026-07-31,2026-08-11,Friday,2026-07-27/2026-08-02,Menstrual
